combo,score
05-12-15-18-35,0.74290259
05-12-15-18-37,0.74290259
05-12-15-35-37,0.74290259
05-12-18-35-37,0.74290259
05-13-15-18-37,0.74290259
05-13-15-35-37,0.74290259
05-13-18-35-37,0.74290259
05-15-18-35-37,0.74290259
12-13-15-18-35,0.74290259
12-13-15-18-37,0.74290259
12-13-15-35-37,0.74290259
12-13-18-35-37,0.74290259
12-15-18-35-37,0.74290259
13-15-18-35-37,0.74290259
07-10-16-20-26,0.73695936
07-10-16-20-32,0.73695936
07-10-16-20-35,0.73695936
07-10-16-26-32,0.73695936
07-10-16-26-35,0.73695936
07-10-16-32-35,0.73695936
07-10-20-26-32,0.73695936
07-10-20-26-35,0.73695936
07-10-20-32-35,0.73695936
07-10-26-32-35,0.73695936
07-16-20-26-32,0.73695936
07-16-20-26-35,0.73695936
07-16-20-32-35,0.73695936
07-16-26-32-35,0.73695936
07-20-26-32-35,0.73695936
10-16-20-26-32,0.73695936
10-16-20-26-35,0.73695936
10-16-20-32-35,0.73695936
10-16-26-32-35,0.73695936
10-20-26-32-35,0.73695936
16-20-26-32-35,0.73695936
01-11-12-14-20,0.73106369
01-11-12-14-26,0.73106369
01-11-12-14-29,0.73106369
01-11-12-20-26,0.73106369
01-11-12-20-29,0.73106369
01-11-12-26-29,0.73106369
01-11-14-20-26,0.73106369
01-11-14-20-29,0.73106369
01-11-14-26-29,0.73106369
01-11-20-26-29,0.73106369
01-12-14-20-26,0.73106369
01-12-14-20-29,0.73106369
01-12-14-26-29,0.73106369
01-12-20-26-29,0.73106369
01-14-20-26-29,0.73106369
11-12-14-20-26,0.73106369
11-12-14-20-29,0.73106369
11-12-14-26-29,0.73106369
11-12-20-26-29,0.73106369
11-14-20-26-29,0.73106369
12-14-20-26-29,0.73106369
01-05-15-16-18,0.72521518
01-05-15-16-27,0.72521518
01-05-15-16-34,0.72521518
01-05-15-18-27,0.72521518
01-05-15-18-34,0.72521518
01-05-15-27-34,0.72521518
01-05-16-18-27,0.72521518
01-05-16-18-34,0.72521518
01-05-16-27-34,0.72521518
01-05-18-27-34,0.72521518
01-15-16-18-27,0.72521518
01-15-16-18-34,0.72521518
01-15-16-27-34,0.72521518
01-15-18-27-34,0.72521518
01-16-18-27-34,0.72521518
05-15-16-18-27,0.72521518
05-15-16-18-34,0.72521518
05-15-16-27-34,0.72521518
05-15-18-27-34,0.72521518
05-16-18-27-34,0.72521518
15-16-18-27-34,0.72521518
01-07-22-23-33,0.71941346
01-07-22-23-34,0.71941346
01-07-22-23-35,0.71941346
01-07-22-33-34,0.71941346
01-07-22-33-35,0.71941346
