target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
95,2015-02-06,4,01 04 10 23 28 29 30,01 08 13 14 18 30 34,26 36,2,0,外れ
95,2015-02-06,5,01 04 08 23 28 29 35,01 08 13 14 18 30 34,26 36,2,0,外れ
96,2015-02-13,1,01 04 05 10 23 28 30,09 11 14 21 22 23 24,10 36,1,1,外れ
96,2015-02-13,2,01 04 08 23 28 29 30,09 11 14 21 22 23 24,10 36,1,0,外れ
96,2015-02-13,3,01 04 10 23 28 29 35,09 11 14 21 22 23 24,10 36,1,1,外れ
96,2015-02-13,4,01 04 15 23 28 30 35,09 11 14 21 22 23 24,10 36,1,0,外れ
96,2015-02-13,5,01 04 08 15 28 29 35,09 11 14 21 22 23 24,10 36,0,0,外れ
97,2015-02-20,1,01 04 05 10 23 28 30,07 13 14 16 22 24 35,01 29,0,1,外れ
97,2015-02-20,2,01 04 08 23 28 29 30,07 13 14 16 22 24 35,01 29,0,2,外れ
97,2015-02-20,3,01 04 10 23 28 29 35,07 13 14 16 22 24 35,01 29,1,2,外れ
97,2015-02-20,4,01 04 15 23 28 30 35,07 13 14 16 22 24 35,01 29,1,1,外れ
97,2015-02-20,5,04 05 15 23 28 29 30,07 13 14 16 22 24 35,01 29,0,1,外れ
98,2015-02-27,1,01 04 14 23 28 30 35,03 09 11 13 19 25 33,10 30,0,1,外れ
98,2015-02-27,2,01 04 14 24 28 29 35,03 09 11 13 19 25 33,10 30,0,0,外れ
98,2015-02-27,3,01 04 08 23 28 29 35,03 09 11 13 19 25 33,10 30,0,0,外れ
98,2015-02-27,4,04 10 14 23 28 29 35,03 09 11 13 19 25 33,10 30,0,1,外れ
98,2015-02-27,5,01 04 10 23 24 28 35,03 09 11 13 19 25 33,10 30,0,1,外れ
99,2015-03-06,1,04 13 14 23 28 30 35,13 17 22 24 27 28 35,11 19,3,0,外れ
99,2015-03-06,2,01 04 11 14 23 28 35,13 17 22 24 27 28 35,11 19,2,1,外れ
99,2015-03-06,3,01 04 13 23 24 28 35,13 17 22 24 27 28 35,11 19,4,0,5等
99,2015-03-06,4,01 04 11 13 23 28 30,13 17 22 24 27 28 35,11 19,2,1,外れ
99,2015-03-06,5,01 04 05 14 23 28 30,13 17 22 24 27 28 35,11 19,1,0,外れ
100,2015-03-13,1,01 04 13 23 24 28 35,01 02 11 16 25 35 36,09 14,2,0,外れ
100,2015-03-13,2,04 11 13 14 24 28 35,01 02 11 16 25 35 36,09 14,2,1,外れ
100,2015-03-13,3,04 08 13 24 28 29 35,01 02 11 16 25 35 36,09 14,1,0,外れ
100,2015-03-13,4,04 13 14 23 28 30 35,01 02 11 16 25 35 36,09 14,1,1,外れ
100,2015-03-13,5,04 05 13 24 28 30 35,01 02 11 16 25 35 36,09 14,1,0,外れ
101,2015-03-20,1,01 04 11 13 24 28 35,11 12 21 23 28 36 37,03 16,2,0,外れ
101,2015-03-20,2,01 04 13 14 23 28 35,11 12 21 23 28 36 37,03 16,2,0,外れ
101,2015-03-20,3,04 11 14 23 24 28 35,11 12 21 23 28 36 37,03 16,3,0,外れ
101,2015-03-20,4,01 04 11 23 28 30 35,11 12 21 23 28 36 37,03 16,3,0,外れ
101,2015-03-20,5,01 11 13 14 28 30 35,11 12 21 23 28 36 37,03 16,2,0,外れ
102,2015-03-27,1,04 11 13 23 24 28 35,01 04 08 27 28 29 31,13 25,2,1,外れ
102,2015-03-27,2,01 04 11 14 23 28 35,01 04 08 27 28 29 31,13 25,3,0,外れ
102,2015-03-27,3,01 11 13 14 24 28 35,01 04 08 27 28 29 31,13 25,2,1,外れ
102,2015-03-27,4,01 04 11 13 28 35 36,01 04 08 27 28 29 31,13 25,3,1,6等
102,2015-03-27,5,01 04 11 24 28 29 35,01 04 08 27 28 29 31,13 25,4,0,5等
103,2015-04-03,1,01 04 11 23 24 28 35,02 03 11 12 22 35 36,30 34,2,0,外れ
103,2015-04-03,2,01 04 11 13 28 29 35,02 03 11 12 22 35 36,30 34,2,0,外れ
103,2015-04-03,3,01 04 08 23 28 29 35,02 03 11 12 22 35 36,30 34,1,0,外れ
103,2015-04-03,4,04 08 11 13 23 28 35,02 03 11 12 22 35 36,30 34,2,0,外れ
