generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at
5,g005_0156_2817,12691.293207,240,1200,6,0,0,1,4,25,46,1124,0.2668485724590752,0.15944508898002357,0.4769208630369805,0.09678547552392082,0.018468392108567232,0.1551434422164117,0.2006550194393479,0.034524997539227276,0.018068970049408842,0.2644462031739247,0.07753809957536313,0.3515294769985082,0.547727141367642,5,16,77,178,1,4,8,2026-06-14T17:57:44.793561+00:00
5,g005_0132_1295,10920.258982,240,1200,5,0,0,0,7,26,37,1130,0.07504870684473694,0.6695122005450347,0.018214632936891767,0.2372244596733366,0.18507338075751645,0.26731772927884767,0.0,0.07386910456932168,0.04478740032316775,0.24255960236288143,0.3726428809918825,0.2590731749919176,0.3307161851489031,5,20,86,179,1,4,8,2026-06-14T18:03:24.660563+00:00
5,g005_0140_2109,10610.952734,240,1200,5,0,0,0,6,30,35,1129,0.1420859344833967,0.5137709415547405,0.271523423284323,0.07261970067754003,0.15051503567849142,0.17598594799422013,0.021405672496015632,0.1182697146388538,0.05035375647284357,0.28070498970742525,0.04696661215291652,0.2001138531665488,0.2515145005857619,5,20,78,171,1,4,8,2026-06-14T18:03:27.921835+00:00
5,g005_0180_1544,9058.549712,240,1200,5,0,0,0,4,27,31,1138,0.3627041174114878,0.5002996438321419,0.007769406430361369,0.12922683232600898,0.024597889360034098,0.03443381765137264,0.028871068507329133,0.03994956157129546,0.025737352213847448,0.12775298959096934,0.5259354851351183,0.4077911466275761,0.10827870996769581,4,15,98,171,1,4,8,2026-06-14T18:04:45.762921+00:00
5,g005_0172_2949,8160.233862,240,1200,5,0,0,0,2,30,40,1128,0.4418063837182813,0.14710874652748399,0.40234733227498337,0.008737537479251276,0.11991453864636645,0.10110794751318763,0.07375903143527487,0.03800290470958047,0.03091460299075112,0.3129205318276548,0.6335383651156028,0.39439261729303465,0.4083026509467094,6,17,106,160,0,4,8,2026-06-14T18:07:09.505171+00:00
5,g005_0044_8551,9489.470285,240,1200,5,0,0,0,4,30,41,1125,0.16700530843398684,0.5110480984513105,0.23229860065407684,0.0896479924606258,0.024501109446259953,0.08412140965266537,0.043695247406190685,0.06188418960015874,0.04549958705029045,0.28568505522632104,0.43895321689322203,0.13566837422485611,0.4461397746655082,6,26,73,192,2,4,8,2026-06-14T18:22:52.404351+00:00
5,g005_0188_9108,9259.459515,240,1200,5,0,0,0,4,29,36,1131,0.4067438546360959,0.00638482061975056,0.48787006107990416,0.09900126366424936,0.18624910012579282,0.11439570656179747,0.1451703930549826,0.06194472731274991,0.00937364594407964,0.1899933966496254,0.5352243047027797,0.3897307920420749,0.5903575855929181,6,21,83,167,1,4,8,2026-06-14T18:26:36.769878+00:00
5,g005_0196_4189,11472.940872,240,1200,5,0,0,0,8,24,39,1129,0.23175968499277957,0.13159592284513708,0.48028218669757966,0.15636220546450363,0.046360013761471947,0.1645787725903781,0.0,0.11275767753641519,0.045753394757101634,0.15683353480272288,0.22097995259833142,0.31944774747490606,0.7408057256275751,5,21,85,165,2,4,8,2026-06-14T18:28:07.188656+00:00
5,g005_0164_6442,8925.91813,240,1200,5,0,0,0,4,25,38,1133,0.2361147714186319,0.2079744736258646,0.3898977665430268,0.1660129884124766,0.05671016968371739,0.2536535241443537,0.05544408366913199,0.09682227943485901,0.03105013494939765,0.6670502669344728,0.8681884905848635,0.317423944711326,0.2422964137939917,6,25,101,166,0,4,8,2026-06-14T19:00:43.411953+00:00
6,g006_0012_7483,8511.387662,240,1200,5,0,0,0,3,26,41,1130,0.44734136907336847,0.039499224279175314,0.4136538420548001,0.09950556459265604,0.15017021716067538,0.179439455542544,0.20227457854735878,0.0183682521619871,0.0269517711610616,0.3093752948945582,0.5083057210992818,0.3861678313417723,0.41542971133786577,6,16,82,184,2,4,8,2026-06-14T22:00:30.221776+00:00
