generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at,source_file
2,g002_0060_7952,18407.8262,620,3100,5,0,0,0,6,48,75,2971,0.3434825441891211,0.07734281873308031,0.2806565593933069,0.2985180776844917,0.1169703345942945,0.2077787620253896,0.051910554406441024,0.05721860791896592,0.04547501823160369,0.3503011227779902,0.2542851105100463,0.3246815329358484,0.5152801367986307,5,18,94,173,1,0,4,2026-06-11T23:04:18.986683+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0031_9193,18404.7451,620,3100,5,0,0,0,5,51,89,2955,0.24187827455329625,0.37789161684650946,0.24967271624850032,0.1305573923516939,0.10562838875603249,0.10967301549258382,0.06043927730897593,0.0,0.012683651417959773,0.6764670853928828,0.12231704635829647,0.28701251024647667,0.2705346530540778,4,15,94,165,1,3,4,2026-06-12T03:42:00.585018+00:00,outputs/evolution_history_shard03_of_04.csv
0,g000_0081_1011,18396.589016,620,3100,5,0,0,0,5,53,83,2959,0.3977546058914006,0.36125811874373825,0.02614386089377563,0.2148434144710857,0.07088936214376343,0.04552335250495251,0.04507722895546189,0.022250198159819712,0.007734494231067127,0.41189553870279016,0.3229022917888173,0.30542852309820606,0.32447197864685273,4,17,92,162,1,1,4,2026-06-11T10:32:31.728719+00:00,outputs/evolution_history_shard01_of_04.csv
1,g001_0147_9270,18388.195258,620,3100,5,0,0,0,5,55,76,2964,0.01797458524387531,0.17317824907118226,0.66914678382944,0.13970038185550254,0.10567110070704074,0.1013541512415717,0.16785182997339831,0.06779219028734845,0.05362194168750621,0.141589195428056,0.05787297436862075,0.15929451246354864,0.34780112833103155,5,15,80,194,1,3,4,2026-06-12T01:31:33.486589+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0023_4273,18377.577182,620,3100,5,0,0,0,4,60,82,2954,0.5121179878946195,0.0764973527991133,0.3461594815805352,0.06522517772573212,0.09213630113203364,0.04669632694759903,0.0920088213602539,0.03478077223508265,0.023497934623516542,0.5993156579947921,0.576255992749785,0.34607379804167115,0.3407590634608707,4,16,90,188,2,3,4,2026-06-11T21:44:44.342436+00:00,outputs/evolution_history_shard03_of_04.csv
2,g002_0023_4273,18377.577182,620,3100,5,0,0,0,4,60,82,2954,0.5121179878946195,0.0764973527991133,0.3461594815805352,0.06522517772573212,0.09213630113203364,0.04669632694759903,0.0920088213602539,0.03478077223508265,0.023497934623516542,0.5993156579947921,0.576255992749785,0.34607379804167115,0.3407590634608707,4,16,90,188,2,3,4,2026-06-12T03:39:07.202631+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0016_9382,18371.34619,620,3100,5,0,0,0,5,53,83,2959,0.31036246210711865,0.4234433026030878,0.010156219807984316,0.2560380154818092,0.05596969794195001,0.11729179625431177,0.17687084472668851,0.06423043095977553,0.057867914757813305,0.4167908655309073,0.32419757699325485,0.08039000432018455,0.1879801167765175,6,14,90,178,1,0,4,2026-06-11T11:14:13.861060+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0103_5056,18363.825985,620,3100,5,0,0,0,5,53,81,2961,0.44867962560267216,0.31898747752931267,0.09485417914263054,0.13747871772538464,0.16910809593419246,0.057858603251175825,0.13535679315830695,0.005878082399727164,0.02356718432163778,0.21603480683178602,0.7302518657235744,0.1530942251114008,0.35422329828946664,6,16,83,179,3,3,4,2026-06-12T05:34:58.409776+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0022_3173,18358.803963,620,3100,5,0,0,0,5,52,84,2959,0.3827874256227182,0.29120165201676207,0.018661508581715495,0.30734941377880415,0.0600426366376649,0.11585927488666828,0.2422086255863541,0.028260139250731467,0.056549639021523525,0.15192187694420112,0.7047119726205249,0.052450639818263894,0.15637227114928262,6,20,105,187,0,2,4,2026-06-12T04:07:32.947393+00:00,outputs/evolution_history_shard02_of_04.csv
0,g000_0019_7084,18334.412538,620,3100,5,0,0,0,7,40,71,2982,0.27441402790990366,0.12754520750808532,0.08957296433168607,0.508467800250325,0.14742311764097416,0.1566964528725014,0.1310675344803327,0.06630059386097589,0.036602522886142526,0.3551213563878536,0.22157429296398573,0.18412715231907356,0.19657512410171227,5,20,103,188,2,3,4,2026-06-11T09:00:19.771857+00:00,outputs/evolution_history_shard03_of_04.csv
