created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-23T22:30:58.310779+00:00,15,g015_0015_5544,22.133,-726500,5,5,62.283,-351900
2026-06-23T22:32:41.142576+00:00,16,g016_0016_8590,20.096,-745500,4,5,62.283,-351900
2026-06-23T22:33:12.511859+00:00,17,g017_0017_8276,23.173,-716800,7,5,62.283,-351900
2026-06-23T22:34:55.264021+00:00,18,g018_0018_2246,20.954,-737500,5,5,62.283,-351900
2026-06-23T22:35:52.564626+00:00,19,g019_0019_5387,21.618,-731300,5,5,62.283,-351900
2026-06-23T22:36:49.688648+00:00,20,g020_0020_9268,22.465,-723400,7,5,62.283,-351900
2026-06-23T22:44:55.160246+00:00,21,g021_0021_2891,24.416,-705200,8,5,62.283,-351900
2026-06-23T22:45:52.034370+00:00,22,g022_0022_7870,23.376,-714900,8,5,62.283,-351900
2026-06-23T22:47:34.827878+00:00,23,g023_0023_7506,18.832,-757300,3,5,62.283,-351900
2026-06-23T22:52:34.335980+00:00,24,g024_0024_8981,21.286,-734400,7,5,62.283,-351900
2026-06-23T22:55:32.371342+00:00,25,g025_0025_6963,22.422,-723800,6,5,62.283,-351900
2026-06-23T23:00:31.960040+00:00,26,g026_0026_4507,22.144,-726400,7,5,62.283,-351900
2026-06-23T23:03:29.837372+00:00,27,g027_0027_7764,20.032,-746100,5,5,62.283,-351900
2026-06-23T23:05:12.792919+00:00,28,g028_0028_5622,20.675,-740100,5,5,62.283,-351900
2026-06-23T23:13:19.964566+00:00,29,g029_0029_3184,62.101,-353600,6,6,62.283,-351900
2026-06-23T23:15:02.321709+00:00,30,g030_0030_3399,24.652,-703000,9,5,62.283,-351900
2026-06-23T23:16:45.147383+00:00,31,g031_0031_2137,19.593,-750200,4,5,62.283,-351900
2026-06-23T23:24:51.795834+00:00,32,g032_0032_7411,21.286,-734400,7,5,62.283,-351900
2026-06-23T23:26:34.483566+00:00,33,g033_0033_5414,20.193,-744600,4,5,62.283,-351900
2026-06-23T23:27:31.705777+00:00,34,g034_0034_3443,25.327,-696700,10,5,62.283,-351900
2026-06-23T23:29:14.133327+00:00,35,g035_0035_6087,23.269,-715900,9,5,62.283,-351900
2026-06-23T23:37:22.397163+00:00,36,g036_0036_9170,19.743,-748800,4,5,62.283,-351900
2026-06-23T23:39:05.218830+00:00,37,g037_0037_7566,21.318,-734100,4,5,62.283,-351900
2026-06-23T23:40:48.188934+00:00,38,g038_0038_8944,19.26,-753300,4,5,62.283,-351900
2026-06-23T23:45:47.954048+00:00,39,g039_0039_6500,59.839,-374700,5,6,62.283,-351900
2026-06-23T23:50:47.116305+00:00,40,g040_0040_1276,19.357,-752400,4,5,62.283,-351900
2026-06-23T23:58:53.567556+00:00,41,g041_0041_9622,21.318,-734100,7,5,62.283,-351900
2026-06-23T23:59:25.064005+00:00,42,g042_0042_5436,23.323,-715400,8,5,62.283,-351900
2026-06-24T00:01:07.886480+00:00,43,g043_0043_6608,22.583,-722300,7,5,62.283,-351900
2026-06-24T00:02:50.786788+00:00,44,g044_0044_9829,21.372,-733600,6,5,62.283,-351900
2026-06-24T00:03:47.920064+00:00,45,g045_0045_7912,19.636,-749800,5,5,62.283,-351900
2026-06-24T00:08:47.028153+00:00,46,g046_0046_5555,22.122,-726600,8,5,62.283,-351900
2026-06-24T00:13:46.127644+00:00,47,g047_0047_6510,18.96,-756100,4,5,62.283,-351900
2026-06-24T00:26:31.854661+00:00,48,g048_0048_7241,19.946,-746900,4,5,62.283,-351900
2026-06-24T00:31:31.658000+00:00,49,g049_0049_8028,24.03,-708800,9,5,62.283,-351900
2026-06-24T00:32:03.173615+00:00,50,g050_0050_5783,18.435,-761000,2,5,62.283,-351900
2026-06-24T00:40:09.429610+00:00,51,g051_0051_1032,22.937,-719000,7,5,62.283,-351900
2026-06-24T00:41:06.893894+00:00,52,g052_0052_3001,20.6,-740800,5,5,62.283,-351900
2026-06-24T00:42:49.806755+00:00,53,g053_0053_9226,60.354,-369900,5,6,62.283,-351900
2026-06-24T00:45:48.055929+00:00,54,g054_0054_3494,20.815,-738800,5,5,62.283,-351900
2026-06-24T00:48:46.316140+00:00,55,g055_0055_4329,20.686,-740000,6,5,62.283,-351900
2026-06-24T00:50:29.004010+00:00,56,g056_0056_4008,59.721,-375800,4,6,62.283,-351900
2026-06-24T00:53:27.777729+00:00,57,g057_0057_2876,22.412,-723900,7,5,62.283,-351900
2026-06-24T00:53:59.448651+00:00,58,g058_0058_3027,20.086,-745600,4,5,62.283,-351900
2026-06-24T00:55:42.501643+00:00,59,g059_0059_1631,22.315,-724800,7,5,62.283,-351900
2026-06-24T01:00:42.761637+00:00,60,g060_0060_1419,19.496,-751100,4,5,62.283,-351900
2026-06-24T01:01:40.148415+00:00,61,g061_0061_4517,21.747,-730100,6,5,62.283,-351900
2026-06-24T01:09:47.284840+00:00,62,g062_0062_3549,21.222,-735000,6,5,62.283,-351900
2026-06-24T01:22:30.747571+00:00,63,g063_0063_3467,18.639,-759100,3,5,62.283,-351900
2026-06-24T01:27:30.191250+00:00,64,g064_0064_5665,20.397,-742700,5,5,62.283,-351900
2026-06-24T01:30:28.205432+00:00,65,g065_0065_1176,21.758,-730000,5,5,62.283,-351900
2026-06-24T01:33:27.405630+00:00,66,g066_0066_2305,23.098,-717500,6,5,62.283,-351900
2026-06-24T01:36:25.534625+00:00,67,g067_0067_8357,62.755,-347500,7,6,62.755,-347500
2026-06-24T01:38:08.059829+00:00,68,g068_0068_6670,24.973,-700000,10,5,62.755,-347500
2026-06-24T01:39:05.778873+00:00,69,g069_0069_1146,20.086,-745600,6,5,62.755,-347500
2026-06-24T01:42:05.044444+00:00,70,g070_0070_2232,18.992,-755800,3,5,62.755,-347500
2026-06-24T01:45:03.462281+00:00,71,g071_0071_6505,22.122,-726600,7,5,62.755,-347500
2026-06-24T01:46:01.073325+00:00,72,g072_0072_6531,18.167,-763500,3,5,62.755,-347500
2026-06-24T01:51:01.551094+00:00,73,g073_0073_6586,19.496,-751100,5,5,62.755,-347500
2026-06-24T01:53:59.749897+00:00,74,g074_0074_4242,23.751,-711400,9,5,62.755,-347500
